# timestamp tx ty tz qx qy qz qw
1772544710.3742 2.472975000 2.114158000 1.353738000 0.883558462 0.149481587 -0.093967750 -0.433762332
1772544710.4242 2.484056000 2.127789000 1.359830000 0.879614982 0.134849678 -0.091935136 -0.446812018
1772544710.4742 2.514057000 2.148082000 1.326555000 0.885856247 0.121065575 -0.073852567 -0.441755175
1772544710.5242 2.579436000 2.185523000 1.293939000 0.903779024 0.108943855 -0.071818995 -0.407623288
1772544710.5742 2.622082000 2.207444000 1.299298000 0.912008941 0.091712540 -0.070644338 -0.393494445
1772544710.6242 2.586766000 2.211474000 1.378168000 0.882568234 0.101197252 -0.069510048 -0.453873091
1772544710.6742 2.470832000 2.154758000 1.428445000 0.848563417 0.090604660 -0.068256280 -0.516790095
1772544710.7242 2.384870000 2.085855000 1.472403000 0.833892536 0.013950839 -0.057661260 -0.548729252
1772544710.7742 2.358637000 2.053016000 1.482896000 0.821533047 0.024558106 -0.033111221 -0.568668620
1772544710.8242 2.369735000 2.080249000 1.467193000 0.825395498 0.055913331 -0.056500207 -0.558930853
1772544710.8742 2.459362000 2.164834000 1.463757000 0.816390705 0.104779382 -0.109432970 -0.557271857
1772544710.9242 2.607398000 2.270604000 1.456760000 0.807852263 0.150613267 -0.160925818 -0.546619837
1772544710.9742 2.703583000 2.391153000 1.444452000 0.795951739 0.183510802 -0.173457471 -0.550179171
1772544711.0242 2.764280000 2.559327000 1.416275000 0.808382901 0.216425569 -0.175539365 -0.518520000
1772544711.0742 2.845908000 2.671980000 1.415504000 0.800277872 0.255446520 -0.195392502 -0.506087120
1772544711.1242 2.996030000 2.773613000 1.437975000 0.782411256 0.311650621 -0.223688620 -0.490581204
1772544711.1742 3.074502000 2.823979000 1.462900000 0.772752541 0.294980299 -0.223582497 -0.515607410
1772544711.2242 3.074131000 2.826946000 1.496949000 0.773066540 0.278240001 -0.212831227 -0.528822745
1772544711.2742 2.998769000 2.744320000 1.482226000 0.796640633 0.235929384 -0.181742918 -0.525994809
1772544711.3242 2.833916000 2.571135000 1.443525000 0.827790792 0.190572592 -0.127805323 -0.511967080
